,user_id_str,type
251,30035884,"['route'] ['locality', 'political']"
252,160932283,"['route'] ['locality', 'political']"
253,160932283,Centre
254,37575049,"['locality', 'political'] ['neighborhood', 'political']"
255,30035884,Tunnel
256,16094512,"['locality', 'political'] ['neighborhood', 'political']"
257,16094512,"['locality', 'political'] ['neighborhood', 'political']"
258,16094512,"['locality', 'political'] ['neighborhood', 'political']"
259,53541705,"['locality', 'political'] ['neighborhood', 'political']"
260,53541705,"['locality', 'political'] ['neighborhood', 'political']"
261,160932283,"['route'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
262,55498924,"['route'] ['clothing_store', 'store', 'point_of_interest', 'establishment'] ['premise', 'point_of_interest', 'establishment'] ['locality', 'political']"
263,30035884,"['route'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['health', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
264,16094512,"['locality', 'political'] ['neighborhood', 'political']"
265,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
266,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
267,53541705,"['locality', 'political'] ['neighborhood', 'political']"
268,53541705,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
269,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
270,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
271,30035884,Ferry
272,55498924,no coordinate
273,30035884,"['locality', 'political'] ['real_estate_agency', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
274,30035884,MTR
275,14397810,"['locality', 'political'] ['neighborhood', 'political']"
276,14397810,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['neighborhood', 'political']"
277,53541705,"['locality', 'political'] ['neighborhood', 'political']"
278,14282045,"['route'] ['store', 'point_of_interest', 'establishment'] ['locality', 'political']"
279,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
280,883377606,no coordinate
281,160932283,"['route'] ['locality', 'political']"
282,160932283,Centre
283,37575049,"['locality', 'political'] ['neighborhood', 'political']"
284,30035884,Tunnel
285,16094512,"['locality', 'political'] ['point_of_interest', 'establishment'] ['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment']"
286,30035884,Tunnel
287,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
288,53541705,"['locality', 'political'] ['neighborhood', 'political']"
289,30035884,"['route'] ['transit_station', 'point_of_interest', 'establishment'] ['locality', 'political']"
290,7376602,"['locality', 'political'] ['point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
291,160932283,"['route'] ['general_contractor', 'point_of_interest', 'establishment'] ['locality', 'political']"
292,14397810,"['locality', 'political'] ['bakery', 'store', 'food', 'point_of_interest', 'establishment'] ['department_store', 'store', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment'] ['electronics_store', 'store', 'point_of_interest', 'establishment']"
293,160932283,"['route'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
294,53541705,"['route'] ['health', 'store', 'point_of_interest', 'establishment'] ['locality', 'political']"
295,16094512,"['locality', 'political'] ['neighborhood', 'political']"
296,55498924,"['route'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['food', 'point_of_interest', 'establishment'] ['hair_care', 'point_of_interest', 'establishment']"
297,160932283,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
298,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
299,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
300,30035884,"['route'] ['locality', 'political']"
301,53893147,"['locality', 'political'] ['neighborhood', 'political']"
302,30035884,Ferry
